time_s,,V
0.0,511.66,500.97
0.02,511.6,512.8
0.04,511.6,512.8
0.06,511.6,512.8
0.08,511.6,512.8
0.1,511.6,512.8
0.12000000000000001,511.6,512.8
0.14,511.6,512.8
0.16,511.6,512.8
0.18,511.6,512.8
0.19999999999999998,511.6,512.8
0.21999999999999997,511.6,512.8
0.23999999999999996,511.6,512.8
0.25999999999999995,511.6,512.8
0.27999999999999997,511.6,512.8
0.3,511.6,512.8
0.32,511.6,512.8
0.34,511.6,512.8
0.36000000000000004,511.6,512.8
0.38000000000000006,511.6,512.8
0.4000000000000001,511.6,512.8
0.4200000000000001,511.6,512.8
0.4400000000000001,511.6,512.8
0.46000000000000013,511.6,512.8
0.48000000000000015,511.6,512.8
0.5000000000000001,511.6,512.8
0.5200000000000001,511.6,512.8
0.5400000000000001,511.6,512.8
0.5600000000000002,511.6,512.8
0.5800000000000002,511.6,512.8
0.6000000000000002,511.6,512.8
0.6200000000000002,511.6,512.8
0.6400000000000002,511.6,512.8
0.6600000000000003,511.6,512.8
0.6800000000000003,511.6,512.8
0.7000000000000003,511.6,512.8
0.7200000000000003,511.6,512.8
0.7400000000000003,511.6,512.8
0.7600000000000003,511.6,512.8
0.7800000000000004,511.6,512.8
0.8000000000000004,511.6,512.8
0.8200000000000004,511.6,512.8
0.8400000000000004,511.6,512.8
0.8600000000000004,511.6,512.8
0.8800000000000004,511.6,512.8
0.9000000000000005,511.6,512.8
0.9200000000000005,511.6,512.8
0.9400000000000005,511.6,512.8
0.9600000000000005,511.6,512.8
0.9800000000000005,511.6,512.8
1.0000000000000004,511.6,512.8
1.0200000000000005,511.6,512.8
1.0400000000000005,511.6,512.8
1.0600000000000005,511.6,512.8
1.0800000000000005,511.6,512.8
1.1000000000000005,511.6,512.8
1.1200000000000006,511.6,512.8
1.1400000000000006,511.6,512.8
1.1600000000000006,511.6,512.8
1.1800000000000006,511.6,512.8
1.2000000000000006,511.6,512.8
1.2200000000000006,511.6,512.8
1.2400000000000007,511.6,512.8
1.2600000000000007,511.6,512.8
1.2800000000000007,511.6,512.8
1.3000000000000007,511.6,512.8
1.3200000000000007,511.6,512.8
1.3400000000000007,511.6,512.8
1.3600000000000008,511.6,512.8
1.3800000000000008,511.28,514.04
1.4000000000000008,511.28,514.04
1.4200000000000008,511.34,515.27
1.4400000000000008,511.34,515.27
1.4600000000000009,511.07,516.41
1.4800000000000009,510.66,515.93
1.5000000000000009,511.93,515.54
1.520000000000001,512.34,515.04
1.540000000000001,511.27,513.83
1.560000000000001,511.02,513.06
1.580000000000001,511.01,511.65
1.600000000000001,511.01,511.65
1.620000000000001,510.33,509.3
1.640000000000001,510.66,508.24
1.660000000000001,511.33,507.79
1.680000000000001,511.66,508.63
1.700000000000001,511.66,508.63
1.720000000000001,510.91,510.24
1.740000000000001,510.91,510.24
1.7600000000000011,510.1,514.0
1.7800000000000011,509.48,516.8
1.8000000000000012,509.48,516.8
1.8200000000000012,509.38,520.64
1.8400000000000012,517.31,539.11
1.8600000000000012,535.45,587.89
1.8800000000000012,607.36,636.51
1.9000000000000012,675.69,668.01
1.9200000000000013,744.75,681.21
1.9400000000000013,800.2,688.77
1.9600000000000013,800.2,688.77
1.9800000000000013,872.45,671.69
2.0000000000000013,855.96,642.75
2.0200000000000014,790.37,604.2
2.0400000000000014,700.89,553.96
2.0600000000000014,620.91,503.97
2.0800000000000014,558.53,463.58
2.1000000000000014,558.53,463.58
2.1200000000000014,512.23,436.06
2.1400000000000015,478.98,418.65
2.1600000000000015,478.98,418.65
2.1800000000000015,438.51,404.61
2.2000000000000015,428.41,404.69
2.2200000000000015,422.92,408.75
2.2400000000000015,420.54,414.8
2.2600000000000016,420.54,414.8
2.2800000000000016,421.31,428.27
2.3000000000000016,428.24,434.02
2.3200000000000016,434.2,441.02
2.3400000000000016,440.16,448.21
2.3600000000000017,443.93,454.97
2.3800000000000017,446.94,461.58
2.4000000000000017,446.94,461.58
2.4200000000000017,451.95,469.46
2.4400000000000017,457.77,481.77
2.4600000000000017,457.77,481.77
2.4800000000000018,461.02,486.82
2.5000000000000018,463.61,490.66
2.520000000000002,465.29,494.12
2.540000000000002,467.83,496.5
2.560000000000002,470.07,498.6
2.580000000000002,472.45,500.28
2.600000000000002,475.76,501.62
2.620000000000002,478.21,503.3
2.640000000000002,478.21,503.3
2.660000000000002,483.81,499.51
2.680000000000002,486.45,498.81
2.700000000000002,486.45,498.81
2.720000000000002,490.45,501.96
2.740000000000002,490.45,501.96
2.760000000000002,495.01,505.97
2.780000000000002,497.01,508.18
2.800000000000002,497.01,508.18
2.820000000000002,499.6,509.54
2.840000000000002,500.68,510.43
2.860000000000002,501.15,511.95
2.880000000000002,501.32,512.16
2.900000000000002,501.25,512.53
2.920000000000002,502.0,512.82
2.940000000000002,502.6,511.66
2.960000000000002,502.88,511.53
2.980000000000002,504.71,510.42
